date,max_temp,min_temp
2026-02-10,12.8,9.1
2026-02-11,13.4,10.6
2026-02-12,12.3,9.0
2026-02-13,9.2,7.7
2026-02-14,8.0,0.9
2026-02-15,10.2,-0.6
2026-02-16,11.5,7.3
2026-02-17,8.1,4.8
